Name;Date;Year;Month;Week;Monday Size;Weekly;Monday;Tuesday;First Touches;Other Side Taken;End Up;High Touches;Low Touches;Touches;day to low;day to high
Range;March 24, 2025;2025;March;4th Week;3.8%;Bearish;Bullish;Bearish;Monday Low;No;Bellow;0;1;"""Friday low""";4;0
Range;March 17, 2025;2025;March;3rd Week;2.82%;Bullish;Bullish;Bearish;Monday Low;Yes;Above;3;1;"""Friday High, Sunday High, Thursday High, Tuesday low, Wednesday High""";1;2
Range;March 10, 2025;2025;March;2nd Week;7.91%;Bullish;Bearish;Bullish;Monday Low;Yes;Above;5;1;"""Friday High, Saturday High, Sunday High, Thursday High, Tuesday low, Wednesday High""";1;2
Range;March 3, 2025;2025;March;1st Week;9.59%;Bearish;Bearish;Bullish;Monday Low;No;Inside;0;3;"""Saturday low, Sunday low, Tuesday low""";1;0
Range;February 24, 2025;2025;February;4th Week;5.24%;Bearish;Bearish;Bearish;Monday Low;No;Inside;0;2;"""Sunday low, Tuesday low""";1;0
Range ;February 17, 2025;2025;February;3rd Week;1.92%;Bullish;Bearish;Bearish;Monday Low;Yes;Inside;3;3;"""Friday High, Friday low, Sunday High, Thursday High, Tuesday low, Wednesday low""";1;3
Range ;February 10, 2025;2025;February;2nd Week;3.3%;Bearish;Bullish;Bearish;Monday High;Yes;Inside;2;3;"""Saturday High, Thursday low, Tuesday High, Tuesday low, Wednesday low""";1;1
Range ;February 3, 2025;2025;February;1st Week;12.39%;Bearish;Bullish;Bearish;;;Inside;0;0;"""""";0;0
Range;January 27, 2025;2025;January;4th Week;5.65%;Bearish;Bearish;Bearish;Monday High;Yes;Bellow;4;1;"""Friday High, Sunday low, Thursday High, Tuesday High, Wednesday High""";6;1
Range ;January 20, 2025;2025;January;3rd Week;10.5%;Bullish;Bullish;Bullish;;;Inside;0;0;"""""";0;0
Range ;January 13, 2025;2025;January;2nd Week;7.69%;Bullish;Bearish;Bullish;Monday High;;Above;1;0;"""Tuesday High""";0;1
Range ;January 6, 2025;2025;January;1st Week;4.5%;Bearish;Bullish;Bearish;Monday High;Yes;Bellow;1;1;"""Tuesday High, Tuesday low""";1;1
Range;December 30, 2024;2024;Desember;5th Week;3.87%;Bullish;Bearish;Bullish;Monday High;No;Above;3;0;"""Thursday High, Tuesday High, Wednesday High""";0;1
Range;December 23, 2024;2024;Desember;4th Week;4.36%;Bearish;Bearish;Bullish;Monday High;No;Inside;3;0;"""Friday High, Thursday High, Tuesday High""";0;1
Range ;December 16, 2024;2024;Desember;3rd Week;4.4%;Bearish;Bullish;Bearish;Monday High;Yes;Bellow;1;1;"""Tuesday High, Wednesday low""";2;1
Range ;December 9, 2024;2024;Desember;2nd Week;7.7%;Bullish;Bearish;Bearish;Monday High;No;Above;5;0;"""Friday High, Saturday High, Sunday High, Thursday High, Wednesday High""";0;2
Range ;December 2, 2024;2024;Desember;1st Week;4%;Bullish;Bearish;Bullish;Monday Low;Yes;Above;3;2;"""Friday High, Thursday High, Tuesday low, Wednesday High""";1;2
Range;November 25, 2024;2024;November;4th Week;6.43%;Bearish;Bearish;Bearish;Monday Low;No;Inside;0;2;"""Tuesday low, Wednesday low""";1;0
Range ;November 18, 2024;2024;November;3rd Week;3.78%;Bullish;Bullish;Bullish;Monday High;No;Above;2;0;"""Tuesday High, Wednesday High""";0;1
Range ;November 11, 2024;2024;November;2nd Week;11.91%;Bullish;Bullish;Bearish;Monday High;No;Above;5;0;"""Friday High, Sunday High, Thursday High, Tuesday High, Wednesday High""";0;1
Range ;November 4, 2024;2024;November;1st Week;3.87%;Bullish;Bearish;Bullish;Monday High;No;Above;2;0;"""Tuesday High, Wednesday High""";0;1
Range;October 28, 2024;2024;October;4th Week;4.26%;Bullish;Bullish;Bullish;Monday High;Yes;Inside;3;1;"""Friday High, Sunday low, Thursday High, Tuesday High""";6;1
Range ;October 21, 2024;2024;October;3rd Week;3.78%;Bearish;Bearish;Bullish;Monday Low;No;Inside;0;5;"""Friday low, Saturday low, Thursday low, Tuesday low, Wednesday low""";1;0
Range ;October 14, 2024;2024;October;2nd Week;7.81%;Bullish;Bullish;Bullish;Monday High;No;Above;4;0;"""Friday High, Thursday High, Tuesday High, Wednesday High""";0;1
Range ;October 7, 2024;2024;October;1st Week;3.74%;Bullish;Bearish;Bearish;Monday Low;No;Inside;0;4;"""Friday High, Sunday High, Tuesday High, Wednesday High""";0;1
Range;September 30, 2024;2024;September;5th Week;4.28%;Bearish;Bearish;Bullish;Monday Low;No;Inside;0;2;"""Sunday High, Tuesday High""";0;1
Range ;September 23, 2024;2024;September;4th Week;3.58%;Bullish;Bearish;Bullish;Monday High;No;Above;3;0;"""Thursday High, Tuesday High, Wednesday High""";0;1
